Data;Ref Venda;Ref Cliente;Nome do Cliente;E-Mail;Telemóvel;Ref Produto;Nome do Produto;Qt;Preço Produto c/IVA;Tipo;Categoria;Subcategoria;Marca;Pagamento;Total Compra c/IVA;Desconto
02/03/2016;13;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;2501;Comedouro Plástico Verde/Amarelo  - 30cm;1;2,5;Pecuária;Comedouros;;;Contra-Reembolso;32,4;0
02/03/2016;13;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;2563;Bebedouro - 1Lt;1;1,2;Pecuária;Bebedouros;;;Contra-Reembolso;32,4;0
04/03/2016;14;Cliente_0006;Nome_Fictício_0006;cliente0006@exemplo.pt;900 000 006;610;Triple Crown - Sensitive Dog - 15kg;2;63,7;;;;;Contra-Reembolso;66,2;0
09/03/2016;15;Cliente_0007;Nome_Fictício_0007;cliente0007@exemplo.pt;900 000 007;899;Cordi de Faia Fina nº6 - 15kg;3;35,4;Aves ;Higiene ;;Versele-Laga;Transferência Bancária;35,4;0
10/03/2016;16;Cliente_0008;Nome_Fictício_0008;cliente0008@exemplo.pt;900 000 008;2590;Galinheiro madeira Dublin;2;550;Pecuária;Jaulas/Galinheiros;;Copele;Contra-Reembolso;552,5;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;3703;Curva Plástico 12mm;4;0,84;Aves ;Acessórios Diversos;;;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;3702;Cruzeta Plástico 12mm;6;5,1;Aves ;Acessórios Diversos;;;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;3699;Depósito 3lt Entrada Pressão, Saída 12mm;1;11,9;Aves ;Acessórios Diversos;;;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;870;Tubo Flexivel para Bebedouros Automáticos 12mm - (Rolo 20Mts);1;12,2;Aves ;Acessórios Diversos;;Diversos;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;866;Torneira Passagem 12mm;1;1,25;Aves ;Acessórios Diversos;;Diversos;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;863;União de 12mm para Bebedouros Automáticos;4;0,76;Aves ;Acessórios Diversos;;Diversos;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;862;Tê de 12mm para Bebedouros Automáticos;6;1,14;Aves ;Acessórios Diversos;;Diversos;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;861;Mola Galv.84mm,fecho de Gaiolas   ;5;2,5;Aves ;Acessórios Diversos;;Diversos;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;553;Comedouro Cristal c/Gaveta;4;3,2;Aves ;Comedouros/Bebedouros;;EX;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;545;Bebedouro Automático Acuabird RED;1;2,5;Aves ;Comedouros/Bebedouros;;Diversos;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;544;Bebedouro Automático Acuabird com Reservatório -  200ml;1;4,75;Aves ;Comedouros/Bebedouros;;Diversos;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;2563;Bebedouro - 1Lt;1;1,2;Pecuária;Bebedouros;;;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;2554;Bebedouro Logis Garrafa 2lt;1;3,9;Pecuária;Bebedouros;;;Contra-Reembolso;62,89;0
10/03/2016;17;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;830;Art.244 - Transportadora Secondino Médio;1;9,15;Aves ;Transportadoras;Transportadoras;2G-R;Contra-Reembolso;62,89;0
14/03/2016;18;Cliente_0009;Nome_Fictício_0009;cliente0009@exemplo.pt;900 000 009;1656;Pecusanol Champô Ectoparasiticida - 250ml;1;5,4;Cães;Farmácia;Antiparasitários;Vet Permatudora;Contra-Reembolso;7,9;0
17/03/2016;19;Cliente_0010;Nome_Fictício_0010;cliente0010@exemplo.pt;900 000 010;764;Fibras de Coco para Ninhos - 500Gr.;2;5;Aves ;Ninhos;Acessórios para  Ninhos;EX;Transferência Bancária;54,4;0
17/03/2016;19;Cliente_0010;Nome_Fictício_0010;cliente0010@exemplo.pt;900 000 010;107;Mistura Diamantes Australianos - 20kg;1;24,6;Aves ;Misturas;Versele-Laga (Prestige);Versele-Laga;Transferência Bancária;54,4;0
17/03/2016;19;Cliente_0010;Nome_Fictício_0010;cliente0010@exemplo.pt;900 000 010;678;Witte Molen - Papa Amarela Humida - 1kg;5;16,5;Aves ;Papas;Witte Molen;Witte Molen;Transferência Bancária;54,4;0
17/03/2016;19;Cliente_0010;Nome_Fictício_0010;cliente0010@exemplo.pt;900 000 010;916;Grite para Passáros Pet Cup - 5kg;1;3,7;Aves ;Minerais;;Pet Cup;Transferência Bancária;54,4;0
17/03/2016;19;Cliente_0010;Nome_Fictício_0010;cliente0010@exemplo.pt;900 000 010;718;Raff - Universale - 1kg;1;4,6;Aves ;Papas;Raff;Raff Professional;Transferência Bancária;54,4;0
17/03/2016;20;Cliente_0011;Nome_Fictício_0011;cliente0011@exemplo.pt;900 000 011;2444;Ratoeira Toupeira Tipo Francês;1;4,7;Controlo de Pragas;Ratos/Ratazanas/Toupeiras;;Diversos;Transferência Bancária;20,5;0
17/03/2016;20;Cliente_0011;Nome_Fictício_0011;cliente0011@exemplo.pt;900 000 011;2410;Ratoeira Apanha Toupeira ´´SuperCat´´;1;15,8;Controlo de Pragas;Ratos/Ratazanas/Toupeiras;;SuperCat;Transferência Bancária;20,5;0
25/03/2016;21;Cliente_0012;Nome_Fictício_0012;cliente0012@exemplo.pt;900 000 012;1708;Sonda Alimentar Ponta Vermelha + Seringa - 10ml;1;19,95;Aves ;Acessórios para Criar à  Mão;;Psittacus;Contra-Reembolso;22,45;0
25/03/2016;22;Cliente_0013;Nome_Fictício_0013;cliente0013@exemplo.pt;900 000 013;3808;ABEJAR - Pomada Capta Enxames - 100Gr.;1;3,1;;;;Diversos;Contra-Reembolso;5,6;0
27/03/2016;23;Cliente_0014;Nome_Fictício_0014;cliente0014@exemplo.pt;900 000 014;239;NutriBird P15 Original - 10kg;1;36,2;Aves ;Granulados;NutriBird;NutriBird;Transferência Bancária;36,2;0
29/03/2016;24;Cliente_0015;Nome_Fictício_0015;cliente0015@exemplo.pt;900 000 015;3719;Mistura Chinchilas Pet Cup - 750Gr.;1;1,8;Roedores;Alimentação;Chichilas;Pet Cup;Contra-Reembolso;12;0
29/03/2016;24;Cliente_0015;Nome_Fictício_0015;cliente0015@exemplo.pt;900 000 015;3914;Gamela  em Ceramica p/ Hamsters - 80 ML / Ø 8 CM;1;2,25;Roedores;Bebedouros/Comedouros;;Trixie;Contra-Reembolso;12;0
29/03/2016;24;Cliente_0015;Nome_Fictício_0015;cliente0015@exemplo.pt;900 000 015;3885;Bebedouro Automático c/Suporte p/Roedores - 250ml;1;1,95;Roedores;Bebedouros/Comedouros;;Trixie;Contra-Reembolso;12;0
29/03/2016;24;Cliente_0015;Nome_Fictício_0015;cliente0015@exemplo.pt;900 000 015;3744;Versele-Laga -  Feno da Montanha com Extra Dente-de-Leão - 500Gr.;1;3,5;Roedores;Fenos;Versele-Laga;Versele-Laga;Contra-Reembolso;12;0
29/03/2016;25;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;644; F025L - Gaiola Plástica-Exposição;1;10,2;Aves ;Gaiolas/Viveiros;;Koala;Contra-Reembolso;40,7;0
29/03/2016;25;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;649;F014 - Gaiola Viveiro Duplo Plastificada;1;15,8;Aves ;Gaiolas/Viveiros;;Koala;Contra-Reembolso;40,7;0
29/03/2016;25;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;495;Art. 60/A - Bebedouro Lucca com anel - 400cc (Azul);2;1,7;Aves ;Comedouros/Bebedouros;;2G-R;Contra-Reembolso;40,7;0
29/03/2016;25;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;848;Art.74 - Banheira Exterior Lux;1;1,85;Aves ;Acessórios Diversos;;2G-R;Contra-Reembolso;40,7;0
29/03/2016;25;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;795;Art.220 - Transportadora Secondino ;1;6,85;Aves ;Transportadoras;Transportadoras;2G-R;Contra-Reembolso;40,7;0
29/03/2016;25;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;3817;Ninho p/ Canários Bamboo e Côco c/ Gancho - Ø13cm;1;1,15;Aves ;Ninhos;Ninhos Diversos;;Contra-Reembolso;40,7;0
29/03/2016;25;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;3816;Ninho p/ Canários em Corda - Ø9cm;1;0,65;Aves ;Ninhos;Ninhos Diversos;;Contra-Reembolso;40,7;0
31/03/2016;26;Cliente_0017;Nome_Fictício_0017;cliente0017@exemplo.pt;;592;Comedouro em Inox c/ Suporte p/ Aves - 150ml;6;9,9;Aves ;Comedouros/Bebedouros;;Trixie;Transferência Bancária;9,9;0
04/04/2016;27;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;4174;CéDé - Papa Ovo Periquitos - 1kg;1;5,2;Aves ;Papas;CéDé;CéDé;Contra-Reembolso;47,25;0
04/04/2016;27;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;359;Papariquitex com Cocktail e Mel - 500Gr.;2;6,5;Aves ;Papas;EX;EX;Contra-Reembolso;47,25;0
04/04/2016;27;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;675;Papa Ovo Humida Pet Cup - 750Gr.;1;2,35;Aves ;Papas;Pet Cup;Pet Cup;Contra-Reembolso;47,25;0
04/04/2016;27;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;566;Papa Insectivora Pet Cup - 750Gr.;1;2,4;Aves ;Papas;Pet Cup;Pet Cup;Contra-Reembolso;47,25;0
04/04/2016;27;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;448;Quiko Sitt - 1kg;1;5,7;;;;;Contra-Reembolso;47,25;0
04/04/2016;27;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;460;Quiko Classic - 1kg;1;5,7;Aves ;Papas;Quiko;Quiko;Contra-Reembolso;47,25;0
04/04/2016;27;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;391;Promocria Extra - 250Gr.;1;13;Aves ;Suplementos/Farmácia ;Avizoon;Avizoon;Contra-Reembolso;47,25;0
04/04/2016;27;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;378;Naturcálcio - 100Gr.;1;3,9;Aves ;Suplementos/Farmácia ;Avizoon;Avizoon;Contra-Reembolso;47,25;0
10/04/2016;28;Cliente_0018;Nome_Fictício_0018;cliente0018@exemplo.pt;900 000 018;672;Papa Frutos Tropicais - 5kg;1;15,5;Aves ;Papas;Pet Cup;Pet Cup;Transferência Bancária;35,15;0
10/04/2016;28;Cliente_0018;Nome_Fictício_0018;cliente0018@exemplo.pt;900 000 018;680;Witte Molen - Papa Humida Vermelha - 1kg;1;3,7;Aves ;Papas;Witte Molen;Witte Molen;Transferência Bancária;35,15;0
10/04/2016;28;Cliente_0018;Nome_Fictício_0018;cliente0018@exemplo.pt;900 000 018;284;NutriBird A19 - 800g;1;9,2;Aves ;Papas;Papa Criar à Mão;NutriBird;Transferência Bancária;35,15;0
10/04/2016;28;Cliente_0018;Nome_Fictício_0018;cliente0018@exemplo.pt;900 000 018;396;Fertizoon AD3EC - 30ml;1;3,6;Aves ;Suplementos/Farmácia ;Avizoon;Avizoon;Transferência Bancária;35,15;0
10/04/2016;28;Cliente_0018;Nome_Fictício_0018;cliente0018@exemplo.pt;900 000 018;385;Vita E + Se - 30ml;1;3,15;Aves ;Suplementos/Farmácia ;Avizoon;Avizoon;Transferência Bancária;35,15;0
13/04/2016;29;Cliente_0019;Nome_Fictício_0019;cliente0019@exemplo.pt;900 000 019;987;Royal Canin - Boxer Adult - 12kg;1;53,4;Cães;Alimentação;Royal Canin (Raças);Royal Canin;Transferência Bancária;53,4;0
18/04/2016;30;Cliente_0020;Nome_Fictício_0020;cliente0020@exemplo.pt;900 000 020;4060;Omni-Vit - 200Gr.;1;10,6;Aves ;Suplementos/Farmácia ;Oropharma;Oropharma;Transferência Bancária;68,15;0
18/04/2016;30;Cliente_0020;Nome_Fictício_0020;cliente0020@exemplo.pt;900 000 020;4127;Pronafit Pro-Smoke  - 3Pastilhas;1;13,8;Aves ;Suplementos/Farmácia ;Diversos;;Transferência Bancária;68,15;0
18/04/2016;30;Cliente_0020;Nome_Fictício_0020;cliente0020@exemplo.pt;900 000 020;331;Art.63 - Ninho p/Exoticos ;7;18,2;Aves ;Ninhos;Ninhos Diversos;2G-R;Transferência Bancária;68,15;0
18/04/2016;30;Cliente_0020;Nome_Fictício_0020;cliente0020@exemplo.pt;900 000 020;3694;Rede p/ Apanhar Pássaros 25x60cm;1;4,45;Aves ;Acessórios Diversos;;;Transferência Bancária;68,15;0
18/04/2016;30;Cliente_0020;Nome_Fictício_0020;cliente0020@exemplo.pt;900 000 020;849;Art.49 - Banheira Reggio ;9;18,45;Aves ;Acessórios Diversos;;2G-R;Transferência Bancária;68,15;0
18/04/2016;30;Cliente_0020;Nome_Fictício_0020;cliente0020@exemplo.pt;900 000 020;556;Art.100 -Comedouro Universal c/Grelha;1;2,65;Aves ;Comedouros/Bebedouros;;2G-R;Transferência Bancária;68,15;0
18/04/2016;31;Cliente_0021;Nome_Fictício_0021;cliente0021@exemplo.pt;900 000 021;789;Breedmax White - 500Gr.;2;27,6;Aves ;Suplementos/Farmácia ;Breedmax ;Breedmax;Contra-Reembolso;30,1;0
21/04/2016;32;Cliente_0006;Nome_Fictício_0006;cliente0006@exemplo.pt;900 000 006;610;Triple Crown - Sensitive Dog - 15kg;4;127,4;;;;;Transferência Bancária;127,4;0
27/04/2016;33;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;4174;CéDé - Papa Ovo Periquitos - 1kg;1;5,2;Aves ;Papas;CéDé;CéDé;Contra-Reembolso;39,85;0
27/04/2016;33;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;675;Papa Ovo Humida Pet Cup - 750Gr.;2;4,7;Aves ;Papas;Pet Cup;Pet Cup;Contra-Reembolso;39,85;0
27/04/2016;33;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;566;Papa Insectivora Pet Cup - 750Gr.;2;4,8;Aves ;Papas;Pet Cup;Pet Cup;Contra-Reembolso;39,85;0
27/04/2016;33;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;460;Quiko Classic - 1kg;1;5,7;Aves ;Papas;Quiko;Quiko;Contra-Reembolso;39,85;0
27/04/2016;33;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;448;Quiko Sitt - 1kg;1;5,7;;;;;Contra-Reembolso;39,85;0
27/04/2016;33;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;696;Raff - Trésor - 1kg;1;4,75;Aves ;Papas;Raff;Raff Professional;Contra-Reembolso;39,85;0
27/04/2016;33;Cliente_0002;Nome_Fictício_0002;cliente0002@exemplo.pt;;359;Papariquitex com Cocktail e Mel - 500Gr.;2;6,5;Aves ;Papas;EX;EX;Contra-Reembolso;39,85;0
27/04/2016;34;Cliente_0020;Nome_Fictício_0020;cliente0020@exemplo.pt;900 000 020;878;Ovos Falsos de Plastico p/Canários (emb.100) - Ø13mm;1;9,6;Aves ;Acessórios Diversos;;EX;Transferência Bancária;9,6;0
29/04/2016;35;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;649;F014 - Gaiola Viveiro Duplo Plastificada;1;15,8;Aves ;Gaiolas/Viveiros;;Koala;Contra-Reembolso;55,45;0
29/04/2016;35;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;651;F015 - Gaiola Viveiro Alto Plastificada;1;29;Aves ;Gaiolas/Viveiros;;Coração Lusitano;Contra-Reembolso;55,45;0
29/04/2016;35;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;496;Art. 146 - Bebedouro para medicamentos - 45cc (Azul);2;0,5;Aves ;Comedouros/Bebedouros;;2G-R;Contra-Reembolso;55,45;0
29/04/2016;35;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;494;Art.128 - Bebedouro Longo Lusso - 110ml (Azul);6;2,4;Aves ;Comedouros/Bebedouros;;2G-R;Contra-Reembolso;55,45;0
29/04/2016;35;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;3817;Ninho p/ Canários Bamboo e Côco c/ Gancho - Ø13cm;1;1,15;Aves ;Ninhos;Ninhos Diversos;;Contra-Reembolso;55,45;0
29/04/2016;35;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;771;Fibras p/Ninho Coco/Sisal/Juta/Algodão - 100Gr.;1;1,6;Aves ;Ninhos;Acessórios para  Ninhos;Sisal Fibre;Contra-Reembolso;55,45;0
29/04/2016;35;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;3816;Ninho p/ Canários em Corda - Ø9cm;1;0,65;Aves ;Ninhos;Ninhos Diversos;;Contra-Reembolso;55,45;0
29/04/2016;35;Cliente_0016;Nome_Fictício_0016;cliente0016@exemplo.pt;900 000 016;848;Art.74 - Banheira Exterior Lux;1;1,85;Aves ;Acessórios Diversos;;2G-R;Contra-Reembolso;55,45;0
30/04/2016;36;Cliente_0022;Nome_Fictício_0022;cliente0022@exemplo.pt;900 000 022;649;F014 - Gaiola Viveiro Duplo Plastificada;2;31,6;Aves ;Gaiolas/Viveiros;;Koala;Contra-Reembolso;42,3;0
30/04/2016;36;Cliente_0022;Nome_Fictício_0022;cliente0022@exemplo.pt;900 000 022;740;Art.59 - Ninho Externo Lusso;2;4,8;Aves ;Ninhos;Ninhos Diversos;2G-R;Contra-Reembolso;42,3;0
30/04/2016;36;Cliente_0022;Nome_Fictício_0022;cliente0022@exemplo.pt;900 000 022;495;Art. 60/A - Bebedouro Lucca com anel - 400cc (Azul);4;3,4;Aves ;Comedouros/Bebedouros;;2G-R;Contra-Reembolso;42,3;0
